Track,Date,Time,Bike,Front sprocket,Rear sprocket,Chain,Jet kit,Tires,Organization,Lap number,Lap total,Event,Weather,Source
NJMP - Thunderbolt,7/19/2014,02:00.614,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,1,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:57.666,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,2,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:57.305,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,3,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:54.823,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,4,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:54.632,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,5,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:55.150,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,6,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:54.614,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,7,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:53.537,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,8,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:55.036,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,9,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:55.454,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,10,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:54.703,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,11,11,GTL,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20RACE%202%20GTL%20EX%20AM-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,02:22.157,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,1,5,practice,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20PRACTICE%20GROUP%202%20ROUND%201-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,02:01.855,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,2,5,practice,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20PRACTICE%20GROUP%202%20ROUND%201-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:59.689,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,3,5,practice,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20PRACTICE%20GROUP%202%20ROUND%201-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:58.490,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,4,5,practice,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20PRACTICE%20GROUP%202%20ROUND%201-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:58.461,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,5,5,practice,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20PRACTICE%20GROUP%202%20ROUND%201-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,02:14.575,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,1,5,practice,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20PRACTICE%20GROUP%202%20ROUND%202-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:57.868,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,2,5,practice,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20PRACTICE%20GROUP%202%20ROUND%202-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:57.637,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,3,5,practice,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20PRACTICE%20GROUP%202%20ROUND%202-816A-38130.htm
NJMP - Thunderbolt,7/19/2014,01:55.885,2009 Kawasaki Ninja 250,14T,42T,non o-ring RK 520,yes,,ccs,4,5,practice,dry,http://www.motolaptimes.com/2014/NJMP%20072014/SAT%20PRACTICE%20GROUP%202%20ROUND%202-816A-38130.htm
